Date,BABA,PDD,JD,BIDU,NTES,NIO,BILI,TME,EDU,YUMC,TCOM,ZTO,AMZN,TSLA,UL,JNJ
2020-04-01,187.55999755859375,35.900001525878906,40.90999984741211,97.68000030517578,64.13445281982422,2.6500000953674316,24.059999465942383,10.119999885559082,10.473999977111816,40.825767517089844,22.149999618530273,25.8156681060791,1907.699951171875,96.31199645996094,47.52696228027344,125.41842651367188
2020-04-02,188.89999389648438,36.279998779296875,40.08000183105469,99.58999633789062,65.66949462890625,2.390000104904175,24.420000076293945,11.010000228881836,10.791000366210938,41.83171844482422,22.360000610351562,26.825931549072266,1918.8299560546875,90.89399719238281,49.06351852416992,129.64414978027344
2020-04-03,187.11000061035156,36.900001525878906,39.88999938964844,97.19999694824219,64.45573425292969,2.4000000953674316,24.110000610351562,10.630000114440918,10.651000022888184,41.12456512451172,22.010000228881836,26.404170989990234,1906.5899658203125,96.00199890136719,48.12611770629883,130.63729858398438
2020-04-06,196.4499969482422,38.4900016784668,41.560001373291016,102.94000244140625,66.95462799072266,2.4700000286102295,25.559999465942383,10.59000015258789,11.100000381469727,43.495025634765625,23.450000762939453,27.22807502746582,1997.5899658203125,103.24800109863281,49.53704833984375,136.08010864257812
2020-04-07,198.0,40.630001068115234,41.9900016784668,101.79000091552734,64.846435546875,2.700000047683716,26.489999771118164,10.729999542236328,11.531000137329102,43.176307678222656,24.43000030517578,27.23798942565918,2011.5999755859375,109.08999633789062,48.812255859375,133.86013793945312
2020-04-08,195.97999572753906,39.709999084472656,41.16999816894531,97.33000183105469,64.51920318603516,2.740000009536743,26.200000762939453,10.989999771118164,11.253999710083008,44.6702995300293,24.510000228881836,27.30739974975586,2043.0,109.76799774169922,49.53704833984375,139.48794555664062
2020-04-09,196.3699951171875,41.040000915527344,42.15999984741211,99.0,64.92180633544922,2.6700000762939453,26.829999923706055,10.970000267028809,11.574000358581543,45.29777908325195,24.81999969482422,26.900861740112305,2042.760009765625,114.5999984741211,49.991249084472656,137.51141357421875
2020-04-13,199.44000244140625,41.41999816894531,42.779998779296875,98.37000274658203,67.14105987548828,2.9700000286102295,26.209999084472656,10.899999618530273,11.708999633789062,45.56669616699219,24.049999237060547,26.970272064208984,2168.8701171875,130.19000244140625,49.913936614990234,136.08985900878906
2020-04-14,204.77999877929688,43.029998779296875,43.86000061035156,100.91999816894531,67.79949951171875,3.009999990463257,27.479999542236328,11.119999885559082,11.831000328063965,45.80573654174805,23.860000610351562,26.8612003326416,2283.320068359375,141.97799682617188,51.498817443847656,142.1850128173828
2020-04-15,208.1699981689453,43.88999938964844,44.599998474121094,100.87000274658203,69.37816619873047,3.200000047683716,28.100000381469727,10.829999923706055,11.515000343322754,44.491024017333984,23.469999313354492,26.335676193237305,2307.679931640625,145.96600341796875,50.26183319091797,143.77210998535156
2020-04-16,212.66000366210938,45.119998931884766,47.5,102.81999969482422,71.83543395996094,3.25,28.780000686645508,10.819999694824219,11.053999900817871,43.39543151855469,23.239999771118164,28.774900436401367,2408.18994140625,149.04200744628906,50.52275848388672,145.72918701171875
2020-04-17,209.5,44.459999084472656,46.150001525878906,105.0,69.14414978027344,3.2100000381469727,29.0,10.890000343322754,11.248000144958496,45.18821716308594,23.850000381469727,28.546842575073242,2375.0,150.7779998779297,51.11225509643555,148.01730346679688
2020-04-20,212.1300048828125,50.11000061035156,45.20000076293945,104.68000030517578,69.18182373046875,3.190000057220459,29.68000030517578,11.1899995803833,10.937000274658203,45.02885818481445,23.65999984741211,28.308868408203125,2393.610107421875,149.27200317382812,51.78873062133789,147.67652893066406
2020-04-21,207.33999633789062,50.939998626708984,43.2400016784668,101.41000366210938,68.3032455444336,3.0199999809265137,28.56999969482422,10.960000038146973,11.312999725341797,44.261940002441406,23.25,27.664358139038086,2328.1201171875,137.343994140625,50.98662567138672,145.73892211914062
2020-04-22,209.9600067138672,52.150001525878906,44.9900016784668,101.75,69.15010070800781,3.0899999141693115,30.200000762939453,11.119999885559082,11.378000259399414,45.477054595947266,23.0,28.72532081604004,2363.489990234375,146.4219970703125,51.16057586669922,148.96176147460938
2020-04-23,205.24000549316406,49.16999816894531,44.939998626708984,99.8499984741211,67.9978256225586,3.059999942779541,28.010000228881836,10.9399995803833,11.069000244140625,45.496978759765625,23.700000762939453,28.546842575073242,2399.449951171875,141.12600708007812,49.79796600341797,151.41542053222656
2020-04-24,204.36000061035156,49.56999969482422,45.04999923706055,100.94999694824219,69.20562744140625,2.940000057220459,27.739999771118164,10.75,11.015000343322754,43.77390670776367,23.780000686645508,28.64599609375,2410.219970703125,145.02999877929688,49.846290588378906,150.78253173828125
2020-04-27,203.69000244140625,51.189998626708984,45.58000183105469,100.55999755859375,71.24639129638672,3.240000009536743,27.709999084472656,11.029999732971191,12.003999710083008,45.745975494384766,24.440000534057617,28.983125686645508,2376.0,159.75,49.77864456176758,150.2275390625
2020-04-28,201.14999389648438,48.060001373291016,43.58000183105469,97.12999725341797,70.08222198486328,3.3399999141693115,26.959999084472656,10.869999885559082,12.029000282287598,45.716094970703125,24.469999313354492,28.923633575439453,2314.080078125,153.82400512695312,49.256797790527344,147.40390014648438
2020-04-29,206.6999969482422,48.86000061035156,44.34000015258789,99.66999816894531,70.08422088623047,3.609999895095825,27.760000228881836,11.25,12.717000007629395,49.71002960205078,25.90999984741211,29.310338973999023,2372.7099609375,160.1020050048828,49.89460754394531,146.2841796875
